,Experiment_type,Experiment_sign,Title,Relative_beep,Asyn_zeroed,ci_asyn,rejected
0,PS,neg,PS neg,-6,-0.6940235690235697,4.690178007699379,0
1,PS,neg,PS neg,-5,-1.4746296296296302,9.465337152826711,0
2,PS,neg,PS neg,-4,5.512239057239057,7.191698282722006,0
3,PS,neg,PS neg,-3,-3.0878619528619526,7.733202352586516,0
4,PS,neg,PS neg,-2,-4.6099831649831655,8.508214545053969,0
5,PS,neg,PS neg,-1,4.354259259259259,6.2037546815160525,0
6,PS,neg,PS neg,0,-27.429882154882158,15.943081367383519,0
7,PS,neg,PS neg,1,-28.469478114478115,23.687948010321684,0
8,PS,neg,PS neg,2,-15.75513468013468,22.359255741512207,0
9,PS,neg,PS neg,3,4.56526936026936,15.505362283696833,0
10,PS,neg,PS neg,4,-3.730589225589226,20.667609014083723,0
11,PS,neg,PS neg,5,-8.083720538720538,19.547257878808033,0
12,PS,neg,PS neg,6,-4.875740740740741,12.196745989176485,0
13,PS,neg,PS neg,7,3.394057239057239,10.77720137567611,0
14,PS,neg,PS neg,8,-2.7183670033670033,15.175490386901249,0
15,PS,neg,PS neg,9,-6.31452861952862,15.324590149356949,0
16,PS,neg,PS neg,10,-4.089781144781144,9.033838388807087,0
17,PS,neg,PS neg,11,0.6355723905723912,16.415316584036294,0
18,PS,pos,PS pos,-6,5.330684448653199,7.890372655154944,0
19,PS,pos,PS pos,-5,4.812044928451178,2.15838861283974,0
20,PS,pos,PS pos,-4,2.5078151304713803,11.319638139624033,0
21,PS,pos,PS pos,-3,3.2009022516835017,10.440008290587295,0
22,PS,pos,PS pos,-2,-13.56865267255892,8.608926317801663,0
23,PS,pos,PS pos,-1,-2.2827940867003362,12.625123022569657,0
24,PS,pos,PS pos,0,24.754327125420872,14.113720990401092,0
25,PS,pos,PS pos,1,0.9728877314814817,21.186624141682447,0
26,PS,pos,PS pos,2,-15.493857849326599,6.991124261253626,0
27,PS,pos,PS pos,3,-23.225028935185186,21.5552231951305,1
28,PS,pos,PS pos,4,-24.64868739478115,25.592056525098464,0
29,PS,pos,PS pos,5,-20.711660879629633,15.521279619726846,1
30,PS,pos,PS pos,6,-10.509230324074073,22.642243649308472,0
31,PS,pos,PS pos,7,-11.93538247053872,15.11271420810526,0
32,PS,pos,PS pos,8,-8.151275778619526,15.632490792569723,0
33,PS,pos,PS pos,9,1.1800057870370368,8.454730888982597,0
34,PS,pos,PS pos,10,-6.399760627104375,19.67296136084544,0
35,PS,pos,PS pos,11,-13.618557975589226,21.63231620155122,0
36,SC,neg,SC neg,-6,4.152786195286195,14.364571208632855,0
37,SC,neg,SC neg,-5,4.638745791245791,7.332844772646698,0
38,SC,neg,SC neg,-4,-4.223223905723906,5.289583186881422,0
39,SC,neg,SC neg,-3,-4.986203703703704,10.032849926121358,0
40,SC,neg,SC neg,-2,6.229351851851852,9.757626321320632,0
41,SC,neg,SC neg,-1,-5.81145622895623,14.49017432161007,0
42,SC,neg,SC neg,0,-39.08953703703704,16.006266266095686,0
43,SC,neg,SC neg,1,-57.12605218855218,17.99417073804716,1
44,SC,neg,SC neg,2,-38.271203703703705,12.811667308243461,1
45,SC,neg,SC neg,3,-35.57574915824916,10.112628500982458,1
46,SC,neg,SC neg,4,-3.4878198653198673,6.844357957201943,0
47,SC,neg,SC neg,5,9.90132154882155,6.108829868617224,0
48,SC,neg,SC neg,6,12.565210437710437,19.401091602485813,0
49,SC,neg,SC neg,7,6.59743265993266,22.586715859145617,0
50,SC,neg,SC neg,8,0.18904882154882152,17.88391834810357,0
51,SC,neg,SC neg,9,3.2726851851851846,19.464463955359673,0
52,SC,neg,SC neg,10,-1.2377693602693602,7.630019567891469,0
53,SC,neg,SC neg,11,-6.262769360269359,14.772284933165796,0
54,SC,pos,SC pos,-6,3.4500157828282827,8.630970964248744,0
55,SC,pos,SC pos,-5,7.4204703282828275,9.918098912968498,0
56,SC,pos,SC pos,-4,-2.11267361111111,7.128487080216095,0
57,SC,pos,SC pos,-3,-5.121575126262626,10.589876387633515,0
58,SC,pos,SC pos,-2,-10.183885732323233,7.858524402939168,0
59,SC,pos,SC pos,-1,6.547648358585858,7.353276572545538,0
60,SC,pos,SC pos,0,25.267629419191916,10.810974058897912,0
61,SC,pos,SC pos,1,50.45730744949495,18.85563696604169,1
62,SC,pos,SC pos,2,39.07615214646464,19.971650086792568,1
63,SC,pos,SC pos,3,37.48533775252525,30.576253736592435,1
64,SC,pos,SC pos,4,29.931265782828284,28.054542783148435,1
65,SC,pos,SC pos,5,20.912326388888886,22.532751992514857,1
66,SC,pos,SC pos,6,1.613462752525252,6.419420225293367,0
67,SC,pos,SC pos,7,13.960905934343435,20.01906652760054,0
68,SC,pos,SC pos,8,5.558538510101011,9.344519913342058,0
69,SC,pos,SC pos,9,-0.14136679292929344,10.97234756700437,0
70,SC,pos,SC pos,10,-5.0318970959595966,18.471082058701374,0
71,SC,pos,SC pos,11,-2.785874368686869,23.173707130032167,0
